"","Trait_Name","Trait_Class","Within_Spp_Var"
"1","Bark_Thick","Structural",22.3051499569367
"2","Bark_Thick","Structural",27.5647383850333
"3","Bark_Thick","Structural",16.1197951811126
"4","Bark_Thick","Structural",16.4855678532627
"5","Bark_Thick","Structural",17.5831215071754
"6","Bark_Thick","Structural",18.8164091252361
"7","Bark_Thick","Structural",16.8014684634101
"8","Bark_Thick","Structural",14.817890099016
"9","Bark_Thick","Structural",16.9590341142373
"10","Bark_Thick","Structural",18.9020814357346
"11","Bark_Thick","Structural",17.5106048862612
"12","Bark_Thick","Structural",19.4368002541463
"13","Bark_Thick","Structural",18.7053673471479
"14","Bark_Thick","Structural",15.2693608217876
"15","Bark_Thick","Structural",16.2392828448656
"16","Bark_Thick","Structural",17.50513503036
"17","Bark_Thick","Structural",17.7635342432459
"18","Bark_Thick","Structural",21.9758731967491
"19","Bark_Thick","Structural",17.7992000202333
"20","Bark_Thick","Structural",15.3423198184105
"21","Bark_Thick","Structural",19.5978007685061
"22","Bark_Thick","Structural",17.2401062622062
"23","Bark_Thick","Structural",21.4460395828913
"24","Bark_Thick","Structural",17.0301385901369
"25","Bark_Thick","Structural",15.8811993890823
"26","Bark_Thick","Structural",13.8321163360821
"27","Bark_Thick","Structural",20.2032278331016
"28","Bark_Thick","Structural",14.3557707425359
"29","Bark_Thick","Structural",19.2435200556755
"30","Bark_Thick","Structural",17.2123172158121
"31","Bark_Thick","Structural",18.1476642874457
"32","Bark_Thick","Structural",13.7907687518993
"33","Bark_Thick","Structural",22.660682342616
"34","Bark_Thick","Structural",15.9053251990837
"35","Bark_Thick","Structural",14.3717084374549
"36","Bark_Thick","Structural",17.6007125999105
"37","Bark_Thick","Structural",17.78797455763
"38","Bark_Thick","Structural",18.6509218804535
"39","Bark_Thick","Structural",19.0632295297587
"40","Bark_Thick","Structural",18.6068184918777
"41","Bark_Thick","Structural",21.1952235834409
"42","Bark_Thick","Structural",17.602345769376
"43","Bark_Thick","Structural",22.9210079744466
"44","Bark_Thick","Structural",17.8234982849802
"45","Bark_Thick","Structural",26.6120304907769
"46","Bark_Thick","Structural",21.5632421042383
"47","Bark_Thick","Structural",19.1552209179202
"48","Bark_Thick","Structural",21.9857651674769
"49","Bark_Thick","Structural",20.5659497119798
"50","Bark_Thick","Structural",15.3599520973121
"51","Bark_Thick","Structural",20.7447084362265
"52","Bark_Thick","Structural",13.6734046676596
"53","Bark_Thick","Structural",16.8004338978431
"54","Bark_Thick","Structural",22.1311495075783
"55","Bark_Thick","Structural",15.0670506739246
"56","Bark_Thick","Structural",24.4319734111192
"57","Bark_Thick","Structural",18.7253712141741
"58","Bark_Thick","Structural",21.6377082874779
"59","Bark_Thick","Structural",20.497421746256
"60","Bark_Thick","Structural",19.4261391625588
"61","Bark_Thick","Structural",26.8964972490761
"62","Bark_Thick","Structural",12.347371293255
"63","Bark_Thick","Structural",19.6082946105411
"64","Bark_Thick","Structural",22.9929723424397
"65","Bark_Thick","Structural",21.0985766177973
"66","Bark_Thick","Structural",19.8886545201109
"67","Bark_Thick","Structural",16.4258059277479
"68","Bark_Thick","Structural",20.1745631425854
"69","Bark_Thick","Structural",20.4663184146895
"70","Bark_Thick","Structural",16.282530911398
"71","Bark_Thick","Structural",22.5504080961371
"72","Bark_Thick","Structural",21.1377362282789
"73","Bark_Thick","Structural",19.3182877258773
"74","Bark_Thick","Structural",18.1881863773841
"75","Bark_Thick","Structural",16.0936930364366
"76","Bark_Thick","Structural",22.2649895910493
"77","Bark_Thick","Structural",22.5217786274277
"78","Bark_Thick","Structural",16.87168294943
"79","Bark_Thick","Structural",17.3676509280246
"80","Bark_Thick","Structural",18.0025222322638
"81","Bark_Thick","Structural",17.7954057852127
"82","Bark_Thick","Structural",15.5505604990874
"83","Bark_Thick","Structural",18.2385686621306
"84","Bark_Thick","Structural",18.9903295714013
"85","Bark_Thick","Structural",16.5174529907434
"86","Bark_Thick","Structural",16.2466610480051
"87","Bark_Thick","Structural",18.6393681477976
"88","Bark_Thick","Structural",18.1808454999096
"89","Bark_Thick","Structural",20.504450385997
"90","Bark_Thick","Structural",16.4538649401614
"91","Bark_Thick","Structural",20.4314999997187
"92","Bark_Thick","Structural",17.9884860612923
"93","Bark_Thick","Structural",18.88428478112
"94","Bark_Thick","Structural",16.5283072974353
"95","Bark_Thick","Structural",19.6622793025595
"96","Bark_Thick","Structural",14.7179239324205
"97","Bark_Thick","Structural",17.1328301148606
